Key,Faculty,Department,Program,Level,Degree,Course code,Course number,Title,Description,Metadata,Type,Website
FAS_1003,FAS,History,History,Undergraduate,Bachelor,HIST,387,Selected Topics in Public History,"Specific Topics For This Course, And Relevant Prerequisites, Are Stated In The Undergraduate Class Schedule.",Real-world project/assignment;Laboratory/Clinics,Course-integrated,
FAS_1004,FAS,History,History,Undergraduate,Bachelor,HIST,390,Urban History Laboratory,Students Conduct Original Archival And/Or Oral History Research On A Selected Aspect Of Montreal'S History And Then Go Public With Their Research In Creative And Engaging Ways.,Real-world project/assignment;Laboratory/Clinics,Course-integrated,
FAS_1005,FAS,History,History,Undergraduate,Bachelor,HIST,397,History and Sound,"This Course Examines Sound As A Historical Subject And A Medium For Understanding The Past. The Course May Include Training In The Production Of Radio Documentaries, Urban Sound Walks, And Audio Podcasts.",Artistic performances/exhibits;,Course-integrated,
FAS_1006,FAS,History,History,Undergraduate,Bachelor,HIST,403,Methodology and History,"This Course Examines The Variety Of Sources, Methods, And Modes Of Analysis Used In The Research And Writing Of History. It Addresses Both Theoretical And Practical Aspects Of Method.",Case studies;Seminar,Course-integrated,
FAS_1007,FAS,History,History,Undergraduate,Bachelor,HIST,481,Advanced Topics in Public History,"Advanced Seminar In A Selected Topic In Public History. In Addition To Weekly Discussions Of Relevant Readings, The Emphasis Is On Encouraging Students To Conduct Historical Investigation On Their Own, Under A Professor'S Guidance. ",Real-world project/assignment;Laboratory/Clinics,Course-integrated,
FAS_1008,FAS,History,History,Undergraduate,Bachelor,HIST,486,Public History Internship,This Internship In Public History Is Designed To Allow Students To Test And Hone Their Skills In A Non_Academic Situation. ,Real-world project/assignment;Case studies,Course-integrated,
FAS_1009,FAS,History,History,Graduate,Master,HIST,685,Master's Thesis,Master'S Thesis,,Course-integrated,
FAS_101,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,484,Communication Media: Moving Images III,Practicum Course,Practica,Course-integrated,
FAS_1010,FAS,History,History,Graduate,PhD,HIST,890,Thesis Research,Thesis Research,,Course-integrated,
FAS_1011,FAS,Simone de Beauvoir Institute,Women's Studies,Undergraduate,Bachelor,WSDB ,496,Directed Research,"Practical, Hands-On Exercises",Practica,Course-integrated;Research-based,
FAS_1012,FAS,Simone de Beauvoir Institute,Women's Studies,Undergraduate,Bachelor,WSDB ,498,Seminar in Women's Studies,"Practical, Hands-On Exercises",Practica,Course-integrated,
FAS_1013,FAS,Simone de Beauvoir Institute,Women's Studies,Undergraduate,Bachelor,WSDB ,290,Introduction to Historical Perspectives in Women's Studies,"This Course Provides An Introduction To Theories And Writing That Affect The Lives Of Women. Through The Writing Of Feminist Authors, Students Examine, From Mainly The 20Th Century, The Development Of Feminist Theories And Debate. ",Case Studies,Course-integrated;Research-based,
FAS_1014,FAS,Simone de Beauvoir Institute,Women's Studies,Undergraduate,Bachelor,WSDB ,291,Introduction to Contemporary Concerns in Women's Studies,"This Course Explores A Range Of Current Issues And Debates Within Feminism. Using Interdisciplinary Feminist Theories That Consider How Systems Of Power Such As Patriarchy, Capitalism, Racism, And Heterosexism Constitute One Another, It Examines Particular Local And Global Topics Of Interest/Concern Which May Include Health, Education, Work, Violence Against Women, Globalization, Militarism, Media And Cultural Representations, Families, And Feminist Activism.",Case studies,Course-integrated;Research-based,
FAS_1015,FAS,Simone de Beauvoir Institute,Women's Studies,Undergraduate,Bachelor,WSDB ,391,Health Issues: Feminist Perspectives,"This Course Presents Feminist, Intersectional, Postcolonialist, Poststructuralist And Queer Examinations Of A Variety Of Women'S Health Issues. ",Case studies,Course-integrated,
FAS_1016,FAS,English,English Literature,Undergraduate,Bachelor,ENGL,470,Honours Seminar,"With The Permission Of The Department, A Student May Arrange A Tutorial Program With A Faculty Member.",Practica,Course-integrated;Research-based,
FAS_1017,FAS,English,English Literature,Undergraduate,Bachelor,ENGL,224,The Creative Process,"This Course Introduces Students To Some Options For Developing Their Own Process Of Literary Creation, From The English Development Of An Idea Through To The Writing And Editing Of Works Of Prose Fiction, Poetry, And/Or Drama.",Hands-on workshops;Laboratory/Clinics,Course-integrated,
FAS_1018,FAS,English,English Literature,Graduate,Master,ENGL,601,Literary Pedagogies,Special Topics In English Literature,,Course-integrated,
FAS_1019,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,214,Deductive Logic,"This Course Presents The Modern Symbolic Systems Of Sentential And Predicate Logic. Students Transcribe English Sentences Into A Logical Form, Analyze The Concepts Of Logical Truth, Consistency, And Validity, As Well As Learn To Construct Derivations In Each System.",Laboratory/Clinics,Course-integrated,
FAS_1020,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,220,Introduction to the Philosophy of Science,"This Course Provides An Introduction To The Main Problems In The Philosophy Of Science. These Include The Structure Of Scientific Theories, Various Models Of Scientific Method And Explanation, And The Existence Of Unobservables.",Laboratory/Clinics,Course-integrated,
FAS_1021,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,232,Introduction to Ethics,"In This Course, Students Are Introduced To Some Representative Approaches To Ethical Thought And Action.",Case Studies,Course-integrated,
FAS_1022,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,260,Presocratics and Plato,This Course Is A Study Of Ancient Greek Philosophy From Its Beginnings To Plato.,Case Studies,Course-integrated,
FAS_1023,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,261,Aristotle and Hellenistic Philosophy,"This Course Is An Introduction To Aristotle And The Main Lines Of Thought In Hellenistic Philosophy, Including Stoicism, Epicureanism And Scepticism.",Case Studies,Course-integrated,
FAS_1024,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,263,Introduction to Epistemology,"An Introduction To The Basic Concepts And Problems In Epistemology, Including Belief, Knowledge, Scepticism, Perception, And Intentionality.",Case Studies,Course-integrated,
FAS_1025,FAS,Philosophy,Philosophy,Undergraduate,Bachelor,PHIL,265,Introduction to Metaphysics,This Course Is An Introduction To Metaphysics And The Attempt To Understand A Mind_Independent Reality. ,Case Studies,Course-integrated,
FAS_1026,FAS,Political Science,Political science,Undergraduate,Bachelor,POLI ,205,Introduction to International Relations,"This Course Introduces The Principal Theories, Concepts, And Debates In The Contemporary Study Of International Relations. It Provides An Overview Of Issues In International Security, International Political Economy And Global Governance.",Simulations;Case Studies,Course-integrated,
FAS_1027,FAS,Political Science,Political science,Undergraduate,Bachelor,POLI,214,Human Rights: An Overview," This Course Introduces Students To The Historical Origins Of The Concept Of Human Rights; The International Regime And The Acceptance Of Several Generations Of Rights Such As Civil And Political Rights, Economic Rights, Group Rights, And Women'S Rights; The Critiques Of Universalism And The Problems Of Implementation Of Human Rights.",Laboratory/Clinics;Real-world project/assignmen,Course-integrated;Community-based,
FAS_1028,FAS,Political Science,Political science,Undergraduate,Bachelor,POLI,300,Not_for_Profit Organizations and the Law,"This Course Introduces Students To The Legal Regimes Affecting Not_For_ Profit Organizations (Npo). The Course Covers The Legal Structures, Rules And Procedures That Govern Npos, The Vast Diversity Of Npos, And Practical Questions Such As How To Set Up An Npo.",Case Studies,Course-integrated,
FAS_1029,FAS,Political Science,Political science,Undergraduate,Bachelor,POLI,315,International Organizations,"This Course Offers An Overview Of International Institutions And Global Governance. It Examines Major Theoretical Perspectives On International Organizations, And Addresses The Role Of The United Nations System, Regional Organizations, And Non_Governmental Organizations In Promoting International Co_Operation To Address Collective Problems.",Case Studies;Simulations,Course-integrated,
FAS_103,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,493,Communication Media: Advanced Topics,Practicum Course,Practica,Course-integrated,
FAS_1030,FAS,Political Science,Political science,Undergraduate,Bachelor,POLI,328,Public Policy and the Politics of Equality,"This Course Reviews Theoretical Debates About The Role Of The State And The Individual, Collective And Individual Rights, Integration, And The Role Of Cultural Diversity And Identity. It Examines Selected Policy Demands Of Women, The Poor, Refugees, And Other Constituencies.",Case Studies,Course-integrated,
FAS_1031,FAS,Political Science,Political science,Undergraduate,Bachelor,POLI ,392,Approaches to Social Science Inquiry,"This Course Introduces Students To A Variety Of Approaches To Social Scientific Inquiry, Focusing On Their Underlying Logics. The Course Covers Variable_Based Research Of The Qualitative And Quantitative Variety And Alternatives To This Approach Such As Critical Theory, Process_Tracing, Modelling, Ethnography, Interpretivist Analysis, And Conceptual Analysis.",Laboratory/Clinics;Case Studies,Course-integrated,
FAS_1032,FAS,Any department,Any program,Any level,Any degree,,,Arts and Science Federation of Associations,"Largest Faculty Association, Representing Over 16,000 Undergraduate Arts And Science Students.",,Student life,
FAS_1033,FAS,School of Community and Public Affairs,Any program,Any level,Any degree,,,School of Community and Public Affairs Students' Association,The Scpasa Provides Advocacy For Students Of The School Of Community And Public Affairs,,Student life,
FAS_1034,FAS,Liberal Arts College,Western Society and Culture,Any level,Any degree,,,Liberal Arts Society ,Las Represents Students Who Are Majoring And Minoring In The Western Society And Culture Program Of The Liberal Arts College Of Concordia,,Student life,
FAS_1035,FAS,Chemistry and Biochemistry,Any program,Graduate,Master/PhD,,,Chemistry and Biochemistry Graduate Students Association,Graduate Student Association For Msc And Phd Students In The Department Of Chemistry And Biochemistry,,Student life,
FAS_1036,FAS,English,Any program,Graduate,Master/PhD,,,Student Association for Graduates in English (SAGE),"Sage'S Purpose Is To Enrich The Academic, Creative, And Social Life Of All Ma And Ph.D. Students Enrolled In The English Graduate Program.",,Student life,
FAS_1037,FAS,Any department,Any program,Graduate,Master/PhD,,,IPSA-Concordia Summer School in Applied Diplomacy,"Policy-Oriented Seminars Will Be Complemented With A Practical Hands-On Diplomacy Lab, Allowing The Participants To Work On Case Studies In Teams. ",,Course-integrated,
FAS_1038,FAS,Any department,Any program,Graduate,Master/PhD,,,Projected Futures 5: Experimental Science Journalism Studies,Projected Futures 5 Is An Intensive And Experiential Summer School That Will Challenge Participants To Rethink How Science Is Communicated With Society. Graduate Students Will Be Exposed To The Foundations Of Evidence-Based Science Journalism And Then Asked To Experiment To Create New Forms Of Scientific Storytelling.,,Course-integrated,
FAS_1039,FAS,Any department,Any program,Any level,Any degree,,,Azrieli Institute of Israel Studies,"A Common Passion And Dedication To The Study Of Israel Brings Together Faculty, Researchers And Students From Diverse Fields Such As Archaeology, Religion, Political Science, Economics, Arts And Literature, And Anthropology And Sociology.",Laboratory/Clinics,Course-integrated;Research-based,
FAS_104,FAS,Communication Studies,Communication Studies,Graduate,Certificate,COMS,513,Cultures of Production,Field Research Projects,Laboratory/Clinics,Course-integrated,
FAS_1040,FAS,Any department,Any program,Graduate,Master/PhD,,,Centre for Interdisciplinary Studies in Society and Culture,"The Centre For Interdisciplinary Studies In Society And Culture Is Concordia'S Home For Discussion, Exchange, And Collaborative Research Across The Humanities And The Arts.",,Research-based,
FAS_1041,FAS,Any department,Any program,Graduate,Master/PhD,,,Loyola Sustainability Research Centre,"The Mission Of The Loyola Sustainability Research Centre (Lsrc) Is To Promote A Transdisciplinary Approach To Research And Education About Relationships Among Natural, Human, And Technological Systems Through Basic And Applied Research, Research Creation, And Art And Design. ",,Research-based,
FAS_1042,FAS,Any department,Any program,Graduate,Master/PhD,,,Centre for Applied Synthetic Biology (CASB),"Concordia'S Centre For Applied Synthetic Biology Is Canada'S First And Only Research Centre Dedicated To The Development Of Foundational Technologies In Synthetic Biology And Their Application To Solve Emerging Needs In Environmental Protection, Sustainable Manufacturing, Agriculture, Food Production And Drug Development. ",,Research-based,
FAS_1043,FAS,Any department,Any program,Graduate,Master/PhD,,,The Centre for Biological Applications of Mass Spectrometry,"The Centre For Biological Applications Of Mass Spectrometry (Cbams) Is A State-Of-The-Art Facility That Supports Researchers And Provides Graduate Students Enrolled In ""Omics"" Sciences With Valuable Hands-On Training.",,Research-based,
FAS_1044,FAS,Any department,Any program,Graduate,Master/PhD,,,The Centre for Clinical Research in Health,The Centre For Clinical Research In Health (Ccrh) Is Devoted To The Study Of The Psychosocial Determinants Of Physical And Mental Health.,,Research-based,
FAS_1045,FAS,Any department,Any program,Graduate,Master/PhD,,,Centre for NanoScience Research,The Centre For Nanoscience Research Provides Access To State-Of-The-Art Instrumentation And Fosters And Promotes Interdisciplinary Research Collaborations In Nanoscale Science.,,Research-based,
FAS_1046,FAS,Any department,Any program,Any level,Any degree,,,Centre for Oral History and Digital Storytelling,"It Explores The Links Between Oral History, Digital Media, The Arts And Education.",,Course-integrated;Research-based,
FAS_1047,FAS,Any department,Any program,Graduate,Master/PhD,,,The Centre for Research in Human Development,The Centre For Research In Human Development (Crdh) Brings Together Top Researchers And Trainees In The Area Of Lifespan Development.,,Research-based,
FAS_1048,FAS,Any department,Any program,Any level,Any degree,,,Centre for Research in Molecular Modeling,"Cermm Is A Multi-Institutional Research Centre That Supports Research In The Molecular Sciences, Fostering Collaborations Between Researchers In All Fields Of Molecular Simulations, Including Chemistry, Biology, Physics And Engineering.",Simulations;Laboratory/Clinics,Course-integrated;Research-based,
FAS_1049,FAS,Any department,Any program,Any level,Any degree,,,Centre for Sensory Studies,"The Centre For Sensory Studies Is An Interdisciplinary Collaboration Platform For Research In The Social Life And History Of The Senses, Multisensory Aesthetics, Sensory Design And Marketing, And The Development Of Technologies For Expanding The Sensorium In Innovative Ways.",Laboratory/Clinics,Course-integrated;Research-based,
FAS_105,FAS,Communication Studies,Communication Studies,Graduate,Certificate,COMS,562,Media Production: Sound,Lectures And Laboratory: Average 6 Hours Per Week,Laboratory/Clinics,Course-integrated,
FAS_1050,FAS,Any department,Any program,Any level,Any degree,,,Centre for Structural and Functional Genomics,"A State-Of-The-Art Core Genomics Facility And Computational Resources To Sequence, Process And Store The Genetic Information Of Various Organisms.",Laboratory/Clinics,Course-integrated;Research-based,
FAS_1051,FAS,Any department,Any program,Any level,Any degree,,,The Center for Studies in Behavioral Neurobiology,The Center For Studies In Behavioral Neurobiology (Csbn) Brings Together The Talents Of Scientists Interested In Probing The Fundamental Brain Mechanisms That Underlie Behavior And Disease.,Laboratory/Clinics,Course-integrated;Research-based,
FAS_1052,FAS,Any department,Any program,Any level,Any degree,,,The Centre for the Study of Learning and Performance,The Mission Of The Cslp Is To Conduct Research On Teaching And Learning Processes.,Laboratory/Clinics,Course-integrated;Research-based,
FAS_1053,FAS,Any department,Any program,Any level,Any degree,,,Centre for Broadcasting and Journalism Studies,"The Concordia Centre For Broadcasting And Journalism Studies Has Been Involved With The Study Of Media Since 1981, As A Research Centre And As An Archive. The Centre Prides Itself As A Hub Of Intellectual Engagement With Media By Sociologists, Journalism And Communication Scholars, Historians, And Literature Specialists.",Laboratory/Clinics,Course-integrated;Research-based,
FAS_1054,FAS,Any department,Any program,Graduate,Master/PhD,,,Centre for the Study of Politics and Immigration,"The Cspi Is A Research Initiative On The Politics Of Immigration And On Immigration-Related Public Policies. It Produces And Supports Original Research, Provides Training To Students And Is Engaged In Knowledge Dissemination.",,Research-based,
FAS_1055,FAS,Any department,Any program,Any level,Any degree,,,"Technoculture, Art and Games (TAG)","Technoculture, Art And Games (Tag) Is An Interdisciplinary Centre For Research/Creation In Game Studies And Design, Digital Culture And Interactive Art.",Laboratory/Clinics,Course-integrated;Research-based,
FAS_1056,FAS,Any department,Any program,Any level,Any degree,,,Karl Polanyi Institute of Political Economy,The Mission Of The Institute Is Two-Fold: To Preserve The Intellectual Legacy Of Karl Polanyi And To Contribute To Research And  Policy Debates On New Development Strategies Locally And Internationally And On The New Or Reformed Multilateral Institutions Required For The Global Order.,Laboratory/Clinics,Course-integrated;Research-based,
FAS_1057,FAS,Any department,Any program,Any level,Any degree,,,Institute for Genocide and Human Rights Studies (MIGS),The Institute Serves As A Leadership And Ideas Incubator That Convenes Stakeholders With The Goal Of Developing Better Policies To Protect Human Rights. ,Laboratory/Clinics,Course-integrated;Research-based,
FAS_1058,FAS,Any department,Any program,Any level,Any degree,,,Microscopy and Cellular Imaging,The Centre For Microscopy And Cell Imaging Provides Members Of Concordia University With Access To Advanced Fluorescence Microscopes.,Laboratory/Clinics,Course-integrated;Research-based,
FAS_1059,FAS,Any department,Any program,Any level,Any degree,,,Montreal Health Statistics Centre,"The Montreal Health Statistics Centre (Mhs) Connects Statistics Students And Faculty With Health Researchers. Through Training, Networking And Collaboration, We Promote Best Practices And Methodologies Relevant To Health Research.",Laboratory/Clinics,Course-integrated;Research-based,
FAS_106,FAS,Communication Studies,Communication Studies,Graduate,Certificate,COMS,570,Media Production: Intermedia,Lectures And Laboratory: Average 6 Hours Per Week,Laboratory/Clinics,Course-integrated,
FAS_1060,FAS,Any department,Any program,Any level,Any degree,,,Institute for Investigative Journalism,The Institute For Investigative Journalism (Iij) Offers Unparalleled Educational Experiences For Journalism Students And In-Depth Coverage Of Complex Stories In Underserved Communities. Iij Connects Major Media Outlets With Journalism Students And Faculty From Across The Nation To Carry Out Investigations In The Public Interest.,Laboratory/Clinics,Course-integrated;Research-based,
FAS_1061,FAS,Any department,Any program,Graduate,Master/PhD,,,Social Justice Centre,"The Social Justice Centre Provides Support For Events, Offers Fellowships For Postdoctoral Researchers And Graduate Students And Promotes Dialogue And Collaboration Between Researchers With Different Backgrounds And Methodologies.",,Research-based,
FAS_1062,FAS,Any department,Any program,Graduate,Master/PhD,,,"Center for Research on Values, Attitudes and Societies","The Center For Research On Values, Attitudes And Societies Aims To Study The Evolution Of Values And Attitudes Among Societies, In Canada And Throughout The World.",,Research-based,
FAS_1063,FAS,Any department,Any program,Any level,Any degree,,,Concordia Centre for Cognitive Science and Linguistics,The Concordia Centre For Cognitive Science And Linguistics Provides A Structure For The Intellectual Exchange And Sharing Of Resources Among Scholars At Concordia University And Other Institutions Who Are Interested In The Study Of The Mind. ,Laboratory/Clinics,Course-integrated;Research-based,
FAS_1064,FAS,Simone de Beauvoir Institute,Women's Studies,Undergraduate,Bachelor,WSDB,491,Feminist Perspectives on Culture,"This Seminar Explores The Central Concepts And Theories In Feminist Cultural Studies, As They Inform Feminist, Post_Colonial, Queer, And Post_Structuralist Understandings Of Culture.",Real-world project/assignment;Simulations,Course-integrated,
FAS_1065,FAS,Simone de Beauvoir Institute,Sexuality Studies,Undergraduate,Bachelor,SSDB,492,Seminar in Advanced Topics in Sexuality I,This Seminar Is Designed To Provide A Setting For Concentrated Learning And An Opportunity For Advanced Feminist And Intersectional Study On A Research Topic In Sexuality.,Real-world project/assignment;Case studies,Course-integrated;Research-based,
FAS_1066,FAS,Any department,Any program,Any level,Any degree,,,Lab for Latin American and Caribbean Studies,"Our Multidisciplinary Faculty And Student Members Work Together To Give Students Research Related Experience That They Can'T Get In The Classroom. We Bring In Speakers From Around The World, Organize Events, And Publish Together. Students At All Levels Get To Network With Established Scholars, Practice Presenting Research, And Be Involved In Publishing.",Laboratory/Clinics,Course-integrated;Research-based,
FAS_1067,FAS,Any department,Any program,Undergraduate,Bachelor,,,Humanities+,Humanities+ Is A Skills Development + Work-Integrated Learning (Wil) Experience Program That Offers Students In Humanities-Based Programs A Unique Opportunity To Prepare For Life After Graduation. The Program Is Offered In Partnership With Futurebound And Career And Planning Services (Caps).,Practica,Course-integrated;Work-integrated,
FAS_1068,FAS,Études françaises,Traductologie,Graduate,Master,FTRA,538,"Initiation au sous-titrage
Co-listé : FTRA 538",Volet Pratique,,,
FAS_1069,FAS,Applied Human Sciences,Therapeutic Recreation,Undergraduate,Bachelor,AHSC,483,INTERNSHIP IN THERAPEUTIC REC.,Internship In Therapeutic Recreation,Laboratory/clinics;Practica,Course-integrated;Work-integrated,
FAS_107,FAS,Communication Studies,Media Studies,Graduate,Master,COMS,606,Media Research Practicum,Individual Research Practicum Offered On A Tutorial Basis Under Faculty Supervision,,Course-integrated,
FAS_1070,FAS,Applied Human Sciences,Youth Work,Graduate,Graduate Diploma,AHSC,535,INTERNSHIP IN YOUTH WORK,Internship In Youth Work,Practica,Course-integrated;Work-integrated,
FAS_1071,FAS,Applied Human Sciences,Youth Work,Graduate,Graduate Diploma,AHSC,536,EXT. INTERNSHIP IN YOUTH WORK,Extended Internship In Youth Work,Practica,Course-integrated;Work-integrated,
FAS_1072,FAS,Applied Human Sciences,Human Relations / Family Life Education,Undergraduate,Bachelor,AHSC,480,Internship in Family Relations,Extended Internship In Family Relations,Practica,Course-integrated;Work-integrated,
FAS_1073,FAS,Art History,Art History and Film Studies ,Undergraduate,Bachelor,,,Humanities+,Humanities+ Is A Skills Development + Work-Integrated Learning (Wil) Experience Program That Offers Students In Humanities-Based Programs A Unique Opportunity To Prepare For Life After Graduation. The Program Is Offered In Partnership With Futurebound And Career And Planning Services (Caps).,Practica,Course-integrated;Work-integrated,
FAS_1074,FAS,Chemistry and Biochemistry,Biochemistry,Undergraduate,Bachelor,,,Co-operative (Co-Op) Education,,Practica,Course-integrated;Work-integrated,
FAS_1075,FAS,Chemistry and Biochemistry,Chemistry,Undergraduate,Bachelor,,,Co-operative (Co-Op) Education,,Practica,Course-integrated;Work-integrated,
FAS_1076,FAS,"Classics, Modern Languages and Linguistics",Any program,Undergraduate,Bachelor,,,Humanities+,Humanities+ Is A Skills Development + Work-Integrated Learning (Wil) Experience Program That Offers Students In Humanities-Based Programs A Unique Opportunity To Prepare For Life After Graduation. The Program Is Offered In Partnership With Futurebound And Career And Planning Services (Caps).,Practica,Course-integrated;Work-integrated,
FAS_1077,FAS,"Classics, Modern Languages and Linguistics",Hispanic Studies,Graduate,Master,SPAN,603,INTRO PEDAGOGY OF SPANISH,Intro Pedagogy Of Spanish,Practica,Course-integrated;Work-integrated,
FAS_1078,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,278,SOUND I,Sound I,Practica;Laboratory/clinics,Course-integrated;Work-integrated,
FAS_1079,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,378,SOUND II,Sound Ii,Practica;Laboratory/clinics,Course-integrated;Work-integrated,
FAS_108,FAS,Economics,Economics / Analytical Economics,Undergraduate,Bachelor,ECON,423,Applied Econometrics,Computer Analysis; Case Studies; Model Building,Case studies;Laboratory/Clinics,Course-integrated,
FAS_1080,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,381,FILM II,Film Ii,Practica;Laboratory/clinics,Course-integrated;Work-integrated,
FAS_1081,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,383,COMM.MEDIA: FILM II,Communication Media: Film Ii,Practica;Laboratory/clinics,Course-integrated;Work-integrated,
FAS_1082,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,385,COMM.MEDIA: VIDEO II,Communication Media: Video Ii,Practica;Laboratory/clinics,Course-integrated;Work-integrated,
FAS_1083,FAS,Communication Studies,Communication Studies,,,COMS,394,COMS. APPRENTICESHIP I,Communication Studies Apprenticeship I,Practica,Course-integrated;Work-integrated,
FAS_1084,FAS,Communication Studies,Communication Studies,,,COMS,395,COMS. APPRENTICESHIP II,Communication Studies Apprenticeship Ii,Practica,Course-integrated;Work-integrated,
FAS_1085,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,387,TELEVISION II,Television Ii,Practica;Laboratory/clinics,Course-integrated;Work-integrated,
FAS_1086,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,474,COMM. MEDIA: INTERMEDIA III,Communication Media: Intermedia Iii,Practica;Laboratory/clinics,Course-integrated;Work-integrated,
FAS_1087,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,476,COMM. MEDIA: SOUND III,Communication Media: Sound Iii,Practica;Laboratory/clinics,Course-integrated;Work-integrated,
FAS_1088,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,478,SOUND III,Sound Iii,Practica;Laboratory/clinics,Course-integrated;Work-integrated,
FAS_1089,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,481,FILM III,Film Iii,Practica;Laboratory/clinics,Course-integrated;Work-integrated,
FAS_109,FAS,Economics,Economics,Graduate,Master / PhD,ECON,680,Econometric Theory I,Computer-Based Applications,,Course-integrated,
FAS_1090,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,483,COMM. MEDIA: FILM III,Communication Media: Film Iii,Practica;Laboratory/clinics,Course-integrated;Work-integrated,
FAS_1091,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,485,COMM. MEDIA:  VIDEO III,Communication Media: Video Iii,Practica;Laboratory/clinics,Course-integrated;Work-integrated,
FAS_1092,FAS,Communication Studies,Communication Studies,,,COMS,583,INTERNSHIP IN COMMUNIC STUD,Internship In Communic Stud,Practica,Course-integrated;Work-integrated,
FAS_1093,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,487,TELEVISION III,Television Iii,Practica;Laboratory/clinics,Course-integrated;Work-integrated,
